programmeref,name,genre,subgenre,tags,synopsis,classification,description,
df9285b1-a25f-44fa-9a75-478117708558,Get Your Rocks Off!,music,rock,rock_music,saucy_rock_video,rock_music_video,MTV Rocks gets you through the night with the most awesome sounds and the hottest videos that are so hot we can't play them during the day!,
b20c0ff9-e1da-4e00-ac60-721d9e3d812d,Gino D'Acampo's Cracking Christmas: Top 20,music,gold,pop,pop_music_video,pop_music_picks,classic_pop_music,
97601b1b-ea74-4e04-b52a-e65c53aac00e,The Stars' Best-of-Year Takeover,music,pop,2010_pop_music,music_review_of_the_year,pop_music,pop_music_video,
82865489-c19f-4ccc-95c5-6c2fc7650677,Stars Of 2015: Years & Years!,music,electronic,pop,pop_music_video,british_pop_artist,music_review_of_the_year,
e62d3ae7-0687-47aa-bdc0-6b79398d1dd7,Andre Rieu: Welcome to My World: Down Under,music,features,classical,andre_rieu_music_series,classical_music_go_behind_the_scenes,classical_performances,
77748a50-ca8e-4f32-82ff-8ca21791ea41,#KerrangFreshBlood,music,rock,rock_music,2010s_music,new_music_video,These bands are going to be huge! Watch them here first!,
502e2951-41b1-4937-9b2c-0fcd22e29ef6,Discovering: Discovering: Radiohead,music,features,musician_bio,band_bio,classic_pop_music_documentary,music_documentary,
de9be1cc-57ed-4de2-b52c-40965f2d6a4e,Andrea Faustini-X Factor Party!,music,pop,pop_music,x-factor_music,party_playlist,pop_music_video,
a7cb890d-e7e7-4895-b4fb-f2e5802e1488,Pappano's Classical Voices: Baritone & Bass,music,features,opera,classical,opera_&_the_arts,opera_performance,
b4321f62-29f4-4bb2-8edd-46a3818dc18f,#NewMusicFridays,music,pop,2010_pop_music,new_music_video,pop_music_video,"All the new music you need, all in one place at The Box!",
1fe828d9-7236-42ca-8d98-0ea0109011d1,Say It in Song,music,features,music_reality_show,reality_challenge,us_talent_show,dance_competition,
667f32e3-434d-4e05-b966-5735afab183e,Heat's Big Juicy Playlist!,music,pop,pop_music_video,pop_music_picks,party_playlist,Join us here at Heat for a collection of big juicy pop hits!,
77b7a9eb-a5bd-4835-b318-c51980676838,Talks Music: Graham Nash,music,features,music_interviews,icons_of_music,"New. Malcolm Gerrie talks Graham Nash, who reflects on his time as part of Crosby, Stills, Nash & Young.",,
f1759d1d-2ac4-4487-9015-dc40dac463a8,Stars Of 2015: Tinie Tempah,music,hip hop,british_hip-hop_music,2010_hip-hop_music,hip-hop_music,british_hip_hop_artist,
86c3e63c-b8a7-4eb1-ba21-2a628468ff00,Non-Stop 60s,music,pop,gold,pop_music,pop_music_video,nostalgic_music_show,
64179fbd-b2ee-408d-9b53-ed17db9ad6fb,Alternative Metal,music,metal,metal_music,alternative_metal_music,1990s_metal_music,nu_metal_music,
28df5834-1d87-4c3d-8cd8-780aea615535,Greatest Video Hits!,music,pop,rock,pop_punk_music,rock_music_video,music_profile,
65be6461-00b9-4709-9698-7614c05f458f,Wreck The Halls! Metallica,music,metal,rock,icons_of_rock,metal_music,metal_music_video,
f96042a1-a7e6-45d7-8822-a79f37688bd9,Straight Outta 2015! Top 20,music,r&b,hip hop,r&b_music_video,hip-hop_music,music_review_of_the_year,
98894d73-d0da-4339-81d4-141354a92866,MTV Asks Rita Ora,music,features,female_solo_singer,british_artists,music_interviews,"We asked you Ritabots around the world to send in your questions for Rita Ora, and you responded in your thousands. Bluey Robinson puts the best ones to the lady herself right here!",
fb76b953-e19f-46b7-a927-03ac337a2419,Hottest Rock Stars!,music,rock,music_video,metal_music,rock_music,Vote for who you think is the Hottest Rock Star and try and get their video played next! Tweet the onscreen hashtags to vote for your fave track from the 3 choices. Vote as often as you wish!,
da29499d-40b6-48da-ac5f-f89e3afb577d,Latest Rock Releases,music,rock,rock_music_video,rock_music,2010s_rock_music,new_rock_music_video,
d9e2f145-20f5-4cfa-80db-c74b583bb282,Slayer Live & Repentless,music,metal,rock_music_video,us_metal_artist,metal_music,thrash_metal_music,
eca22fa8-197d-41d3-bc09-11156df84939,#FreshBlood 20 Biggest Of The Year!,music,rock,2010s_rock_music,rock_music,rock_music_video,rock_music_countdown,
